School Year,School Code,County,Public/Private,Public School District,CITY,School Name,Enrollment,Reported,Category,Count,Percent
2014-2015,7082472,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,,N,Conditional,,
2014-2015,7082472,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,,N,DTP,,
2014-2015,7082472,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,,N,HC  Practitioner Counseled PBE,,
2014-2015,7082472,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,,N,HEPB,,
2014-2015,7082472,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,,N,MMR,,
2014-2015,7082472,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,,N,Permanent Medical Exemption (PME),,
2014-2015,7082472,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,,N,Personal Beliefs Exemption (PBE),,
2014-2015,7082472,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,,N,POLIO,,
2014-2015,7082472,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,,N,Pre-Jan PBE,,
2014-2015,7082472,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,,N,Religious PBE,,
2014-2015,7082472,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,,N,Up-To-Date,,
2014-2015,7082472,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,,N,VARI,,
2014-2015,126045,SANTA CLARA,PUBLIC,SANTA CLARA COUNTY OFFICE OF EDUCATION,PALO ALTO,ROCKETSHIP EIGHT ELEMENTARY,,N,Conditional,,
2014-2015,126045,SANTA CLARA,PUBLIC,SANTA CLARA COUNTY OFFICE OF EDUCATION,PALO ALTO,ROCKETSHIP EIGHT ELEMENTARY,,N,DTP,,
2014-2015,126045,SANTA CLARA,PUBLIC,SANTA CLARA COUNTY OFFICE OF EDUCATION,PALO ALTO,ROCKETSHIP EIGHT ELEMENTARY,,N,HC  Practitioner Counseled PBE,,
2014-2015,126045,SANTA CLARA,PUBLIC,SANTA CLARA COUNTY OFFICE OF EDUCATION,PALO ALTO,ROCKETSHIP EIGHT ELEMENTARY,,N,HEPB,,
2014-2015,126045,SANTA CLARA,PUBLIC,SANTA CLARA COUNTY OFFICE OF EDUCATION,PALO ALTO,ROCKETSHIP EIGHT ELEMENTARY,,N,MMR,,
2014-2015,126045,SANTA CLARA,PUBLIC,SANTA CLARA COUNTY OFFICE OF EDUCATION,PALO ALTO,ROCKETSHIP EIGHT ELEMENTARY,,N,Permanent Medical Exemption (PME),,
2014-2015,126045,SANTA CLARA,PUBLIC,SANTA CLARA COUNTY OFFICE OF EDUCATION,PALO ALTO,ROCKETSHIP EIGHT ELEMENTARY,,N,Personal Beliefs Exemption (PBE),,
2014-2015,126045,SANTA CLARA,PUBLIC,SANTA CLARA COUNTY OFFICE OF EDUCATION,PALO ALTO,ROCKETSHIP EIGHT ELEMENTARY,,N,POLIO,,
2014-2015,126045,SANTA CLARA,PUBLIC,SANTA CLARA COUNTY OFFICE OF EDUCATION,PALO ALTO,ROCKETSHIP EIGHT ELEMENTARY,,N,Pre-Jan PBE,,
2014-2015,126045,SANTA CLARA,PUBLIC,SANTA CLARA COUNTY OFFICE OF EDUCATION,PALO ALTO,ROCKETSHIP EIGHT ELEMENTARY,,N,Religious PBE,,
2014-2015,126045,SANTA CLARA,PUBLIC,SANTA CLARA COUNTY OFFICE OF EDUCATION,PALO ALTO,ROCKETSHIP EIGHT ELEMENTARY,,N,Up-To-Date,,
2014-2015,126045,SANTA CLARA,PUBLIC,SANTA CLARA COUNTY OFFICE OF EDUCATION,PALO ALTO,ROCKETSHIP EIGHT ELEMENTARY,,N,VARI,,
2014-2015,6114953,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,ASPIRE EAST PALO ALTO CHARTER,66,Y,Conditional,1,1.52%
2014-2015,6115562,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,BARRON PARK ELEMENTARY,45,Y,Conditional,1,2.22%
2014-2015,6115562,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,BARRON PARK ELEMENTARY,45,Y,HC  Practitioner Counseled PBE,1,2.22%
2014-2015,6115562,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,BARRON PARK ELEMENTARY,45,Y,Personal Beliefs Exemption (PBE),1,2.22%
2013-2014,6044333,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,BRENTWOOD ELEMENTARY,95,Y,Conditional,1,1.05%
2013-2014,6044341,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,CESAR CHAVEZ - GREEN OAKS ACADEMY,64,Y,Permanent Medical Exemption (PME),1,1.56%
2013-2014,6044325,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,COSTANO ELEMENTARY,72,Y,Conditional,1,1.39%
2014-2015,6048292,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,DUVENECK ELEMENTARY,64,Y,Conditional,1,1.56%
2014-2015,6048235,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,EL CARMELO ELEMENTARY,60,Y,HC  Practitioner Counseled PBE,1,1.67%
2013-2014,6048235,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,EL CARMELO ELEMENTARY,66,Y,Permanent Medical Exemption (PME),1,1.52%
2014-2015,6048235,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,EL CARMELO ELEMENTARY,60,Y,Personal Beliefs Exemption (PBE),1,1.67%
2014-2015,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,65,Y,Conditional,1,1.54%
2013-2014,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,81,Y,Personal Beliefs Exemption (PBE),1,1.23%
2013-2014,7072002,SANTA CLARA,PRIVATE,,PALO ALTO,GIDEON HAUSNER JEWISH DAY SCHOOL,44,Y,Conditional,1,2.27%
