time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-06-22T16:38:23.840Z,18.2177,-68.4177,92.14,4.5,mb,,40,0.297,0.8,us,us20009p27,2017-06-22T17:41:39.863Z,"26km SE of Boca de Yuma, Dominican Republic",earthquake,5.8,6.3,0.067,65,reviewed,us,us
2017-06-22T16:02:15.760Z,38.7999992,-122.7698364,1.32,2.58,md,48,64,0.01569,0.05,nc,nc72819446,2017-06-22T17:23:01.818Z,"2km NNW of The Geysers, California",earthquake,0.13,0.22,0.15,29,automatic,nc,nc
2017-06-22T15:21:39.125Z,61.2544,-146.8482,10.9,4,ml,,,,0.49,ak,ak16212769,2017-06-22T17:34:04.040Z,"30km WNW of Valdez, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2017-06-22T14:38:47.260Z,-5.9991,102.3291,16.28,5.2,mb,,183,1.743,0.89,us,us20009p1y,2017-06-22T14:55:32.040Z,"191km SW of Kuripan, Indonesia",earthquake,9.6,6.6,0.105,30,reviewed,us,us
2017-06-22T14:28:14.010Z,13.7124,-91.0088,51.98,4.3,mb,,166,1.046,1.31,us,us20009p1x,2017-06-22T18:05:12.278Z,"30km SW of Puerto San Jose, Guatemala",earthquake,8.1,14.2,0.101,28,reviewed,us,us
2017-06-22T13:56:04.961Z,59.0402,-138.0604,0,2.5,ml,,,,0.68,ak,ak16212620,2017-06-22T14:09:43.218Z,"110km ESE of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-06-22T13:16:26.499Z,62.4817,-149.349,48.8,2.6,ml,,,,0.68,ak,ak16212506,2017-06-22T13:21:33.585Z,"43km ENE of Talkeetna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-06-22T12:44:51.340Z,37.2265,-97.9783,5,3.7,mb_lg,,89,0.005,0.31,us,us20009p1d,2017-06-22T18:04:04.727Z,"7km SSE of Harper, Kansas",earthquake,1.7,1.8,0.154,16,reviewed,us,us
2017-06-22T12:31:04.490Z,13.7527,-90.9488,46.82,6.8,mww,,76,1.054,1.43,us,us20009p1a,2017-06-22T18:20:03.578Z,"23km SW of Puerto San Jose, Guatemala",earthquake,6.2,4.7,,,reviewed,us,us
2017-06-22T09:55:04.700Z,-26.1998,178.6026,624.16,4.8,mb,,57,4.318,1.46,us,us20009p07,2017-06-22T10:12:01.040Z,"South of the Fiji Islands",earthquake,13,9.1,0.121,21,reviewed,us,us
2017-06-22T09:26:02.938Z,57.6252,-155.6773,79.9,2.6,ml,,,,0.42,ak,ak16212340,2017-06-22T09:39:13.469Z,"102km W of Larsen Bay, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-06-22T07:29:12.250Z,48.007,145.8876,457.69,4.2,mb,,131,2.366,0.57,us,us20009nzy,2017-06-22T07:42:46.040Z,"239km ESE of Makarov, Russia",earthquake,12.7,9,0.087,37,reviewed,us,us
2017-06-22T07:04:15.220Z,-23.3771,179.9051,532.71,4.9,mb,,67,5.866,0.81,us,us20009nzv,2017-06-22T07:22:33.040Z,"South of the Fiji Islands",earthquake,11.3,8.6,0.069,66,reviewed,us,us
2017-06-22T05:51:33.680Z,-24.1894,-67.2417,216.7,4.3,mb,,168,1.502,0.59,us,us20009nzt,2017-06-22T06:09:44.040Z,"93km W of San Antonio de los Cobres, Argentina",earthquake,11.3,9.3,0.265,4,reviewed,us,us
2017-06-22T05:29:05.627Z,63.266,-150.4457,127.4,2.6,ml,,,,0.4,ak,ak16211929,2017-06-22T05:36:59.418Z,"76km W of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-06-22T04:10:43.330Z,36.6264,71.2362,194.04,4.9,mb,,44,0.726,1.28,us,us20009nzh,2017-06-22T13:55:31.264Z,"27km WSW of Ashkasham, Afghanistan",earthquake,6.3,5.7,0.047,141,reviewed,us,us
2017-06-22T02:41:55.090Z,45.0909,149.7192,68.07,5.4,mb,,89,5.18,0.97,us,us20009nz2,2017-06-22T03:01:45.040Z,"145km E of Kuril'sk, Russia",earthquake,6.5,5.8,0.025,537,reviewed,us,us
2017-06-22T01:35:07.978Z,59.7498,-136.5051,7.8,3.8,ml,,,,0.59,ak,ak16211569,2017-06-22T17:50:19.421Z,"74km WNW of Skagway, Alaska",earthquake,,0.3,,,reviewed,ak,ak
