"Data Source","World Development Indicators",

"Last Updated Date","2017-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.48190406","19.33236793","20.89000224","21.89580296","22.18140928","26.98894729","33.80518937","43.52543981","52.8857608","52.38254929","58.16803071","53.36597308","56.57452735","","",
"Angola","AGO","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.00618425","13.75622193","19.27911944","15.14206043","14.23259059","16.8991726","30.91774474","28.19059742","37.44842882","53.4564375","64.68519176","102.37922537","106.60251904","163.11605053","160.83547792","131.79621085","160.36072269","168.02721742","225.73659246","179.35785371","","",
"Albania","ALB","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.48380136","72.42532839","52.94161894","61.25168194","75.95312403","74.02882494","78.66819861","89.9161553","112.63011779","153.26255007","166.22792891","175.46111256","216.94308134","254.735035","238.07097947","219.27385748","255.2555999","239.51286789","253.3418956","272.20429151","","",
"Andorra","AND","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1282.52258662","1386.66114884","1395.5214956","1831.20946786","1369.1612816","1242.21097786","1268.63334966","1450.79647062","1827.84175497","2127.73674755","2089.66776214","2256.10300159","2997.57274716","3081.87021953","2897.93204128","3173.99169088","2794.50281318","2993.7301066","4914.39117816","3746.33415672","","",
"Arab World","ARB","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.7786087910817","91.082442503097","97.6744057117364","99.776227482974","108.117101418944","115.390892193874","117.897550758117","118.741543167826","113.871219752329","126.034058706529","138.753974681481","159.445607494044","186.213556820847","221.073415978822","241.926579752318","249.487979634636","284.020240224416","326.12210764363","341.75520766183","356.094639188216","","",
"United Arab Emirates","ARE","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","737.42407792","733.11812537","755.50700897","801.20626516","794.56301232","814.13692852","797.59251222","879.28514869","907.58262622","915.42306321","935.01622766","998.78516967","1101.01430073","1338.92670304","1332.63012978","1349.44865722","1473.33909581","1433.10554702","1551.34690283","1610.79897995","","",
"Argentina","ARG","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","612.95824318","616.81447153","683.68795122","704.46065824","724.11127656","706.90499353","672.65232677","223.90609457","277.93844386","323.75024296","389.81827568","447.1689734","539.23777278","673.84210464","711.95419553","738.48082303","795.75029309","726.79434807","731.4512884","605.1878448","","",
"Armenia","ARM","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.62249443","29.14083557","30.12181086","34.98812191","33.89211786","38.82927307","41.12659264","41.9909141","51.50899053","65.49067686","86.10079034","98.22416727","134.06043976","149.38303441","132.51720397","143.06442355","127.00593164","149.92806121","158.98019679","161.55238559","","",
"American Samoa","ASM","Health expenditure per capita (current US$)","SH.XPD.PCAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
