"Data Source","World Development Indicators",

"Last Updated Date","2017-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","64.084","64.429","64.747","65.053","65.356","65.66","65.959","66.242","66.503","66.745","66.972","67.19","67.405","67.626","67.857","68.11","68.394","68.706","69.041","69.387","69.726","70.036","70.301","70.51","70.66","70.757","70.814","70.851","70.886","70.924","70.969","71.018","71.062","71.098","71.126","71.148","71.167","71.187","71.214","71.251","71.305","71.379","71.475","71.591","71.725","71.871","72.024","72.177","72.325","72.464","72.595","72.717","72.836","72.955","73.075","73.197","",
"Afghanistan","AFG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","31.589","32.035","32.476","32.913","33.348","33.781","34.214","34.646","35.079","35.516","35.956","36.403","36.856","37.32","37.797","38.291","38.804","39.336","39.892","40.474","41.089","41.744","42.44","43.173","43.94","44.738","45.565","46.41","47.259","48.096","48.903","49.66","50.36","50.997","51.568","52.075","52.524","52.931","53.312","53.678","54.041","54.409","54.785","55.167","55.559","55.957","56.355","56.747","57.126","57.491","57.844","58.186","58.524","58.859","59.193","59.524","",
"Angola","AGO","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","31.538","31.935","32.331","32.727","33.124","33.521","33.919","34.319","34.72","35.12","35.52","35.922","36.324","36.72","37.105","37.468","37.801","38.096","38.35","38.561","38.729","38.855","38.948","39.018","39.072","39.109","39.127","39.129","39.126","39.134","39.172","39.26","39.414","39.646","39.966","40.39","40.927","41.567","42.285","43.059","43.856","44.639","45.381","46.06","46.664","47.191","47.649","48.065","48.463","48.852","49.241","49.632","50.024","50.413","50.802","51.19","",
"Albania","ALB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","61.309","62.272","63.117","63.811","64.346","64.723","64.962","65.116","65.233","65.346","65.496","65.714","66.004","66.356","66.762","67.19","67.596","67.943","68.204","68.376","68.475","68.533","68.59","68.673","68.788","68.92","69.04","69.12","69.145","69.122","69.07","69.015","68.993","69.03","69.14","69.337","69.624","69.982","70.39","70.829","71.273","71.695","72.079","72.415","72.7","72.946","73.171","73.402","73.655","73.935","74.235","74.544","74.843","75.119","75.369","75.593","",
"Andorra","AND","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","45.8688973394717","46.450561729729","47.0263220514915","47.5989009446006","48.1680585730105","48.7300642299286","49.2765134974549","49.8044518740955","50.31595194556","50.8183215584807","51.324853809452","51.8531764200363","52.4121114559824","52.9999468317945","53.6070621659391","54.2148431500971","54.8006847126632","55.3503826171819","55.8644467119457","56.3556552506675","56.8498368305352","57.3765057336088","57.9532570686236","58.5830731942443","59.2523105603269","59.9334415212833","60.5947942364123","61.2071015809315","61.7493300801336","62.217108537677","62.6539280170771","63.0093562695449","63.2714091269261","63.6125382510926","63.9590402040309","64.3674489291957","64.713193234274","65.0442199292338","65.3504444462241","65.6306394013985","65.8859154646746","66.1208546686579","66.3426066546257","66.5603922750541","66.7794410028036","67.0006250981066","67.2229621056235","67.4398522303995","67.6456845654225","67.8375215606629","68.0194175146346","68.1998888641244","68.3868631841756","68.5807234475926","68.7760358282432","68.9669812616286","",
"United Arab Emirates","ARE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","49.612","50.709","51.807","52.904","53.996","55.074","56.126","57.139","58.106","59.022","59.883","60.693","61.459","62.188","62.885","63.551","64.187","64.794","65.373","65.924","66.451","66.952","67.428","67.881","68.311","68.722","69.112","69.483","69.838","70.178","70.506","70.824","71.133","71.434","71.729","72.018","72.301","72.579","72.849","73.114","73.373","73.628","73.879","74.126","74.368","74.602","74.826","75.038","75.238","75.426","75.605","75.779","75.95","76.121","76.295","76.471","",
"Argentina","ARG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","62.417","62.459","62.477","62.485","62.499","62.536","62.612","62.731","62.893","63.099","63.344","63.618","63.906","64.198","64.485","64.766","65.045","65.327","65.612","65.897","66.174","66.433","66.668","66.877","67.062","67.227","67.382","67.538","67.702","67.879","68.07","68.275","68.487","68.702","68.917","69.13","69.341","69.55","69.755","69.955","70.148","70.333","70.507","70.672","70.83","70.98","71.126","71.271","71.417","71.567","71.724","71.891","72.066","72.25","72.443","72.643","",
"Armenia","ARM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","62.822","63.24","63.664","64.092","64.522","64.953","65.384","65.81","66.22","66.602","66.935","67.198","67.381","67.486","67.52","67.509","67.486","67.479","67.502","67.552","67.606","67.626","67.576","67.436","67.203","66.88","66.476","66.03","65.586","65.18","64.86","64.67","64.627","64.732","64.983","65.366","65.851","66.393","66.949","67.491","68","68.469","68.906","69.313","69.684","70.003","70.259","70.451","70.585","70.669","70.72","70.756","70.796","70.856","70.944","71.062","",
"American Samoa","ASM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","59.512","59.912","60.3","60.676","61.042","61.399","61.748","62.091","62.427","62.757","63.083","63.403","63.719","64.028","64.333","64.633","64.929","65.221","65.508","65.791","66.071","66.347","66.618","66.885","67.149","67.409","67.665","67.918","68.169","68.416","68.661","68.904","69.143","69.38","69.613","69.845","70.073","70.3","70.525","70.747","70.969","71.191","71.413","71.633","71.852","72.063","72.264","72.452","72.626","72.788","72.94","73.087","73.234","73.385","73.543","73.709","",
"Australia","AUS","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","67.7857142857143","67.9","67.84","67.78","67.72","67.66","67.6","67.64","67.68","67.72","67.76","67.8","68.16","68.52","68.88","69.24","69.6","69.92","70.24","70.56","70.88","71.2","71.5","71.8","72.1","72.4","72.7","73.02","73.34","73.66","73.98","74.3","74.5","75","75","75","75.2","75.7","75.9","76.2","76.6","77","77.4","77.8","78.1","78.5","78.7","79","79.2","79.3","79.5","79.7","79.9","80.1","80.3","80.5","",
"Austria","AUT","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","65.41","66.47","66.29","66.39","66.8","66.61","66.88","66.63","66.76","66.56","66.5","66.7","67","67.6","67.5","67.7","68.2","68.5","68.5","68.8","69","69.3","69.4","69.5","70.1","70.4","71","71.5","71.9","71.9","72.3","72.3","72.5","72.8","73.2","73.4","73.7","74.1","74.5","74.9","75.2","75.6","75.8","75.9","76.4","76.6","77.1","77.4","77.7","77.6","77.8","78.3","78.4","78.6","79.1","79.6","",
"Azerbaijan","AZE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","57.346","57.746","58.148","58.552","58.954","59.355","59.758","60.158","60.545","60.906","61.219","61.459","61.613","61.681","61.667","61.585","61.454","61.302","61.159","61.046","60.994","61.034","61.16","61.352","61.582","61.779","61.855","61.763","61.495","61.08","60.601","60.17","59.897","59.855","60.065","60.509","61.134","61.838","62.538","63.195","63.788","64.322","64.824","65.311","65.778","66.208","66.585","66.897","67.142","67.321","67.444","67.524","67.582","67.634","67.692","67.76","",
"Burundi","BDI","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","39.698","40.004","40.316","40.63","40.941","41.236","41.498","41.721","41.907","42.065","42.219","42.397","42.623","42.91","43.257","43.655","44.083","44.51","44.913","45.281","45.616","45.932","46.242","46.545","46.83","47.049","47.148","47.103","46.923","46.643","46.345","46.134","46.091","46.262","46.65","47.212","47.867","48.514","49.074","49.519","49.845","50.078","50.279","50.498","50.752","51.055","51.409","51.799","52.212","52.64","53.077","53.513","53.941","54.356","54.753","55.129","",
"Belgium","BEL","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","66.78","67.56","67.4","67.11","67.76","67.64","67.76","67.93","67.62","67.56","67.85","67.88","68.21","68.45","68.82","68.82","68.91","69.53","69.42","69.94","69.89","70.29","70.61","70.63","71","71.13","71.4","72","72.2","72.34","72.73","72.88","73","72.96","73.36","73.47","73.88","74.2","74.4","74.4","74.6","74.9","75.1","75.3","76","76.2","76.6","77.1","76.9","77.3","77.5","78","77.8","78.1","78.8","78.8","",
"Benin","BEN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","36.829","37.239","37.646","38.051","38.451","38.842","39.218","39.574","39.913","40.236","40.55","40.866","41.192","41.533","41.892","42.263","42.631","42.992","43.345","43.7","44.078","44.506","45.004","45.581","46.234","46.962","47.757","48.59","49.426","50.232","50.96","51.564","52.028","52.354","52.553","52.654","52.704","52.755","52.856","53.03","53.298","53.666","54.107","54.591","55.1","55.605","56.079","56.503","56.865","57.162","57.398","57.589","57.761","57.933","58.114","58.309","",
"Burkina Faso","BFA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","33.454","33.904","34.361","34.826","35.297","35.768","36.231","36.681","37.118","37.547","37.972","38.399","38.842","39.314","39.83","40.422","41.125","41.94","42.851","43.829","44.82","45.761","46.595","47.282","47.799","48.14","48.319","48.383","48.379","48.335","48.27","48.195","48.116","48.046","48.006","48.013","48.084","48.222","48.434","48.729","49.123","49.632","50.248","50.951","51.719","52.514","53.3","54.041","54.714","55.304","55.807","56.234","56.612","56.966","57.307","57.643","",
"Bangladesh","BGD","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","45.522","46.155","46.783","47.391","47.953","48.391","48.612","48.584","48.325","47.893","47.422","47.082","47.007","47.276","47.895","48.803","49.877","50.953","51.903","52.679","53.27","53.709","54.086","54.472","54.892","55.357","55.863","56.392","56.93","57.482","58.06","58.681","59.352","60.071","60.827","61.603","62.372","63.113","63.805","64.437","65.007","65.517","65.985","66.426","66.845","67.246","67.631","67.999","68.352","68.695","69.032","69.37","69.711","70.055","70.402","70.749","",
"Bulgaria","BGR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","67.55","68.42","67.77","68.68","69.37","69.45","69.36","68.37","69.23","68.23","69.11","68.62","68.68","69.03","68.93","68.64","68.99","68.26","68.77","68.64","68.46","68.85","68.43","68.44","68.49","68.15","68.56","68.4","68.38","68.42","68.3","68.4","68.07","67.62","67.36","67.39","67.39","67","67.5","67.9","68.2","68.5","68.5","68.7","69.1","69","69.1","69.2","69.5","69.9","70","70.7","70.9","71.3","71.1","71.1","",
"Bahrain","BHR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","48.944","50.419","51.889","53.33","54.721","56.043","57.288","58.458","59.559","60.589","61.547","62.437","63.266","64.043","64.771","65.457","66.102","66.709","67.278","67.81","68.305","68.76","69.172","69.544","69.88","70.183","70.459","70.714","70.954","71.187","71.417","71.65","71.884","72.12","72.358","72.598","72.839","73.076","73.307","73.529","73.739","73.935","74.117","74.286","74.442","74.588","74.725","74.858","74.988","75.119","75.25","75.382","75.513","75.644","75.774","75.903","",
